,County,Teen Births,Teen Birth Rate,year
59,Orange,177.0,36.472285184,2017
60,Owen,189.0,38.485033598,2017
61,Parke,141.0,38.535118885,2017
62,Perry,172.0,47.200878156,2017
63,Pike,113.0,42.05433569,2017
64,Porter,848.0,21.010381309,2017
65,Posey,164.0,27.895900663,2017
66,Pulaski,109.0,35.831689678,2017
67,Putnam,264.0,23.967317295,2017
68,Randolph,265.0,43.585526316,2017
69,Ripley,242.0,34.443495588,2017
70,Rush,157.0,39.230384808,2017
71,St. Joseph,2451.0,33.675908879,2017
72,Scott,285.0,52.49585559,2017
73,Shelby,420.0,42.355788624,2017
74,Spencer,153.0,31.26277074,2017
75,Starke,235.0,42.13734983,2017
76,Steuben,300.0,34.662045061,2017
77,Sullivan,205.0,49.793538985,2017
78,Switzerland,85.0,39.279112754,2017
79,Tippecanoe,1308.0,23.679779858,2017
80,Tipton,107.0,29.87992181,2017
81,Union,67.0,38.572251007,2017
82,Vanderburgh,1630.0,37.300624728,2017
83,Vermillion,149.0,44.557416268,2017
84,Vigo,1166.0,40.594645406,2017
85,Wabash,274.0,31.938454365,2017
86,Warren,52.0,27.513227513,2017
87,Warrick,339.0,25.21946139,2017
88,Washington,253.0,38.426488457,2017
89,Wayne,698.0,45.484165255,2017
90,Wells,185.0,28.646639827,2017
91,White,239.0,44.539694372,2017
92,Whitley,236.0,30.717167773,2017
0,,59776.0,37.284801217,2016
1,Adams,274.0,31.310707348,2016
2,Allen,3310.0,37.540687981,2016
3,Bartholomew,875.0,49.795128614,2016
4,Benton,69.0,34.074074074,2016
5,Blackford,146.0,50.344827586,2016
6,Boone,274.0,19.591019591,2016
7,Brown,79.0,23.589131084,2016
8,Carroll,127.0,26.348547718,2016
9,Cass,437.0,49.035008977,2016
10,Clark,1047.0,45.055512523,2016
11,Clay,259.0,40.01235903,2016
12,Clinton,376.0,48.478597215,2016
13,Crawford,113.0,44.593528019,2016
14,Daviess,324.0,42.710255734,2016
15,Dearborn,359.0,31.155081142,2016
16,Decatur,271.0,46.74025526,2016
17,DeKalb,412.0,40.101226397,2016
18,Delaware,1018.0,24.829873899,2016
19,Dubois,275.0,27.335984095,2016
20,Elkhart,2445.0,50.023528449,2016
21,Fayette,329.0,60.813308688,2016
22,Floyd,642.0,35.803915008,2016
23,Fountain,184.0,47.349459599,2016
24,Franklin,167.0,28.93779241,2016
25,Fulton,216.0,46.956521739,2016
26,Gibson,291.0,36.900836926,2016
27,Grant,812.0,37.855477855,2016
28,Greene,314.0,43.448180434,2016
29,Hamilton,784.0,12.294182217,2016
30,Hancock,422.0,25.637910085,2016
31,Harrison,287.0,33.852323661,2016
32,Hendricks,666.0,19.304347826,2016
33,Henry,402.0,36.060279871,2016
34,Howard,896.0,48.060934399,2016
35,Huntington,311.0,32.018943684,2016
36,Jackson,524.0,55.16950937,2016
37,Jasper,278.0,32.926684828,2016
38,Jay,225.0,42.261457551,2016
39,Jefferson,329.0,35.791993037,2016
40,Jennings,413.0,57.480862909,2016
41,Johnson,1076.0,32.046700024,2016
42,Knox,401.0,39.522964715,2016
43,Kosciusko,712.0,37.53690426,2016
44,LaGrange,245.0,24.183200079,2016
45,Lake,4782.0,39.25624923,2016
46,LaPorte,1088.0,46.402524843,2016
47,Lawrence,478.0,49.288513095,2016
48,Madison,1386.0,46.469523235,2016
49,Marion,10946.0,52.134236371,2016
50,Marshall,379.0,32.913590968,2016
51,Martin,94.0,41.173893999,2016
52,Miami,338.0,42.045030476,2016
53,Monroe,647.0,12.158911524,2016
54,Montgomery,414.0,46.558704453,2016
55,Morgan,612.0,36.681850875,2016
56,Newton,118.0,35.714285714,2016
57,Noble,462.0,40.152963671,2016
58,Ohio,43.0,35.478547855,2016
59,Orange,186.0,38.295243978,2016
60,Owen,214.0,41.813208284,2016
61,Parke,146.0,38.79883072,2016
62,Perry,186.0,49.481245012,2016
63,Pike,118.0,42.831215971,2016
64,Porter,885.0,21.814148386,2016
65,Posey,178.0,29.637029637,2016
66,Pulaski,108.0,34.493771958,2016
67,Putnam,297.0,26.846244238,2016
68,Randolph,275.0,44.541626174,2016
69,Ripley,260.0,36.92657293,2016
70,Rush,172.0,41.940990002,2016
71,St. Joseph,2644.0,36.154298451,2016
72,Scott,319.0,58.254200146,2016
73,Shelby,441.0,43.941809486,2016
74,Spencer,159.0,31.953376206,2016
75,Starke,255.0,44.110015568,2016
76,Steuben,334.0,38.032338875,2016
77,Sullivan,219.0,51.760813047,2016
78,Switzerland,92.0,41.016495765,2016
79,Tippecanoe,1397.0,25.212510603,2016
80,Tipton,124.0,34.131571704,2016
81,Union,73.0,41.642897889,2016
82,Vanderburgh,1740.0,39.267901875,2016
83,Vermillion,156.0,45.868862099,2016
84,Vigo,1233.0,42.426536371,2016
85,Wabash,289.0,33.077715463,2016
86,Warren,53.0,27.221366204,2016
87,Warrick,345.0,25.692582663,2016
88,Washington,273.0,40.807174888,2016
