% Children in Poverty,% LBW,AFGR,County,Graduation Rate,Teen Birth Rate,Teen Births,year
28.4,7.8627968338,,Wayne,83.63510101,45.484165255,698.0,2017
13.8,7.9133694294,,Wells,94.089147287,28.646639827,185.0,2017
17.9,7.7147016012,,White,85.867952522,44.539694372,239.0,2017
11.3,7.7289377289,,Whitley,95.659509202,30.717167773,236.0,2017
21.2,8.1665001954,,,87.252108867,37.284801217,59776.0,2016
28.5,7.4764353042,,Adams,94.687969925,31.310707348,274.0,2016
21.7,8.7874969842,,Allen,89.892223382,37.540687981,3310.0,2016
16.4,7.842605156,,Bartholomew,83.699450549,49.795128614,875.0,2016
18.0,4.9046321526,,Benton,97.5,34.074074074,69.0,2016
23.8,7.6699029126,,Blackford,92.5,50.344827586,146.0,2016
8.4,6.7605633803,,Boone,96.80608365,19.591019591,274.0,2016
20.6,5.3167420814,,Brown,92.5,23.589131084,79.0,2016
15.6,7.2312703583,,Carroll,90.495283019,26.348547718,127.0,2016
21.2,7.8852047924,,Cass,89.542986425,49.035008977,437.0,2016
16.4,8.0845288872,,Clark,91.701815039,45.055512523,1047.0,2016
21.3,6.6728025771,,Clay,92.0,40.01235903,259.0,2016
19.6,7.7133313088,,Clinton,89.923267327,48.478597215,376.0,2016
29.8,8.1047381546,,Crawford,87.5,44.593528019,113.0,2016
21.7,7.0794078062,,Daviess,93.989169675,42.710255734,324.0,2016
17.3,7.6219512195,,Dearborn,92.732866044,31.155081142,359.0,2016
19.4,7.7826086957,,Decatur,95.017730496,46.74025526,271.0,2016
14.8,6.7439978419,,DeKalb,91.804166667,40.101226397,412.0,2016
26.1,9.2077327076,,Delaware,93.586956522,24.829873899,1018.0,2016
9.9,7.1428571429,,Dubois,91.435121107,27.335984095,275.0,2016
19.8,7.3027622314,,Elkhart,86.155827703,50.023528449,2445.0,2016
23.4,7.6392572944,,Fayette,89.0,60.813308688,329.0,2016
17.2,8.3213083213,,Floyd,92.100215517,35.803915008,642.0,2016
19.8,6.5201984408,,Fountain,92.290794979,47.349459599,184.0,2016
15.4,7.0399113082,,Franklin,93.292207792,28.93779241,167.0,2016
21.6,7.5233388248,,Fulton,90.143979058,46.956521739,216.0,2016
16.9,7.633851468,,Gibson,89.733766234,36.900836926,291.0,2016
30.7,9.5926644331,,Grant,91.72363847,37.855477855,812.0,2016
21.9,7.6558800316,,Greene,90.147849462,43.448180434,314.0,2016
5.7,7.0516152989,,Hamilton,92.869737178,12.294182217,784.0,2016
9.4,7.4179743224,,Hancock,90.892491468,25.637910085,422.0,2016
15.9,7.7939233818,,Harrison,92.409090909,33.852323661,287.0,2016
7.9,7.0050843354,,Hendricks,95.989959839,19.304347826,666.0,2016
21.8,8.1011203677,,Henry,92.656079855,36.060279871,402.0,2016
24.0,7.3848706956,,Howard,86.9,48.060934399,896.0,2016
16.6,8.6970790942,,Huntington,87.0,32.018943684,311.0,2016
19.8,7.2126220887,,Jackson,94.822546973,55.16950937,524.0,2016
13.9,6.8206423674,,Jasper,88.732044199,32.926684828,278.0,2016
35.2,8.3333333333,,Jay,95.0,42.261457551,225.0,2016
25.4,8.5736255286,,Jefferson,91.400593472,35.791993037,329.0,2016
22.2,8.242862887,,Jennings,87.0,57.480862909,413.0,2016
13.2,6.9428373062,,Johnson,91.887547998,32.046700024,1076.0,2016
24.3,7.8610603291,,Knox,92.5,39.522964715,401.0,2016
16.7,7.1369863014,,Kosciusko,84.471470019,37.53690426,712.0,2016
16.6,5.3037427121,,LaGrange,90.945378151,24.183200079,245.0,2016
27.3,9.547615328,,Lake,84.997171489,39.25624923,4782.0,2016
28.9,9.483032033,,LaPorte,82.840744102,46.402524843,1088.0,2016
19.3,9.0987868284,,Lawrence,87.124248497,49.288513095,478.0,2016
23.4,8.3227790845,,Madison,85.049212598,46.469523235,1386.0,2016
31.4,9.326355212,,Marion,76.070441176,52.134236371,10946.0,2016
15.8,6.3075832743,,Marshall,85.477941176,32.913590968,379.0,2016
18.8,7.3796791444,,Martin,86.206140351,41.173893999,94.0,2016
23.3,8.6956521739,,Miami,94.254874652,42.045030476,338.0,2016
19.0,7.1311206047,,Monroe,93.709375,12.158911524,647.0,2016
18.5,7.8733031674,,Montgomery,95.708333333,46.558704453,414.0,2016
17.6,7.7993931822,,Morgan,86.039534884,36.681850875,612.0,2016
17.9,5.946481665,,Newton,90.074850299,35.714285714,118.0,2016
16.5,7.3710634414,,Noble,80.79076087,40.152963671,462.0,2016
16.9,7.614213198,,Ohio,,35.478547855,43.0,2016
28.1,8.5506367495,,Orange,83.862007168,38.295243978,186.0,2016
23.9,7.1172248804,,Owen,92.5,41.813208284,214.0,2016
25.9,6.7946824225,,Parke,85.170157068,38.79883072,146.0,2016
19.5,8.5365853659,,Perry,89.502314815,49.481245012,186.0,2016
16.9,9.3933463796,,Pike,97.5,42.831215971,118.0,2016
13.2,7.0434851737,,Porter,89.83490991,21.814148386,885.0,2016
13.6,7.0502851218,,Posey,88.136363636,29.637029637,178.0,2016
21.7,5.996131528,,Pulaski,93.409090909,34.493771958,108.0,2016
17.9,7.1510516252,,Putnam,92.087525151,26.846244238,297.0,2016
23.7,9.2490842491,,Randolph,87.153614458,44.541626174,275.0,2016
16.0,7.323943662,,Ripley,82.5,36.92657293,260.0,2016
20.8,8.1648522551,,Rush,92.5,41.940990002,172.0,2016
26.5,8.1335921715,,St. Joseph,82.71622539,36.154298451,2644.0,2016
27.0,9.9526066351,,Scott,75.795886076,58.254200146,319.0,2016
16.5,6.4630488137,,Shelby,92.953422053,43.941809486,441.0,2016
12.8,6.8578553616,,Spencer,93.146258503,31.953376206,159.0,2016
23.6,6.8930562595,,Starke,87.105263158,44.110015568,255.0,2016
19.3,7.349581112,,Steuben,84.453560372,38.032338875,334.0,2016
21.8,8.2191780822,,Sullivan,85.216049383,51.760813047,219.0,2016
28.2,6.1403508772,,Switzerland,92.5,41.016495765,92.0,2016
20.3,7.0544161534,,Tippecanoe,85.911941294,25.212510603,1397.0,2016
13.3,8.2217973231,,Tipton,90.948275862,34.131571704,124.0,2016
21.7,5.5846422339,,Union,92.5,41.642897889,73.0,2016
25.4,9.1336754643,,Vanderburgh,81.747089263,39.267901875,1740.0,2016
20.1,8.7468460892,,Vermillion,92.5,45.868862099,156.0,2016
28.0,7.738814994,,Vigo,91.0,42.426536371,1233.0,2016
21.3,8.125247721,,Wabash,92.669902913,33.077715463,289.0,2016
16.3,6.1128526646,,Warren,92.5,27.221366204,53.0,2016
11.1,8.4800343495,,Warrick,91.0,25.692582663,345.0,2016
25.0,7.4593128391,,Washington,92.5,40.807174888,273.0,2016
26.3,7.8157349896,,Wayne,87.520945946,46.070633153,724.0,2016
15.8,7.8026149304,,Wells,93.50375,28.205128205,187.0,2016
17.9,7.9109426812,,White,85.711325967,46.37575315,254.0,2016
13.2,7.9451065367,,Whitley,92.032894737,30.743287067,237.0,2016
,,,,,,,2016
,,,,,,,2016
21.9,8.2111534061,,,86.607365793,38.889375656,62583.0,2015
28.6,7.2495130924,,Adams,93.896011396,30.933633296,275.0,2015
24.8,8.8599192863,,Allen,87.924383125,40.193199469,3545.0,2015
16.5,7.933929055,,Bartholomew,84.009793254,50.938489371,901.0,2015
